,MDB
Price/Earnings (TTM),
Price/Sales (TTM),9.37785
Price/Book (MRQ),15.18845
Price/Cash Flow (TTM),
5yr Low,24.62
5yr High,590.0
5yr Avg Return,0.6673333333333333
EPS Growth 5yr,
Revenue Growth 5yr,0.5006813
Dividend Growth 5yr,
Short Int Current Month,3899897.0
Short Int Prev Month,3868175.0
Short Int Pct of Float,0.058907999999999995
Days to Cover,1.79368
Float,66.19741
Shares Outstanding,68.70708
Institutions Holding Shares,738.0
% Held by Institutions,0.9073950000000001
FCF Growth 5yr,-5.39074074074074
