,HD
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,34.0
Growth 1yr Low Est,0.0809210526315789
Growth 1yr High Est,0.056426332288401326
Growth 1yr Consensus Est,0.06867369245999011
Growth 2yr Low Est,-1.42150110516992e-05
Growth 2yr High Est,0.05106183083262794
Growth 2yr Consensus Est,0.02552380791078812
Growth 5yr Low Est,0.11793111323049615
Growth 5yr High Est,0.15180657500349903
Growth 5yr Consensus Est,0.1348688441169976
Growth 5yr Actual/Est,0.13863781413045334
Growth 3yr Historic,0.11638701638272664
