,HD
% Above Low,0.2339
% Held by Institutions,0.6836
52-Wk Range,['264.51 - 420.61']
Annual Dividend $,7.6
Annual Dividend %,0.0233
Ask,326.98
Ask Size,700.0
B/A Ratio,0.14285714285714285
B/A Size,100x700
Beta,1.0
Bid,326.4
Bid Size,100.0
Closing Price,326.38
Day Change $,4.87
Day Change %,0.0151
Day High,329.08
Day Low,321.9
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",16.59
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.312
Last (size),744.0
Last (time),5:00p ET 11/25/22
Market Cap,334.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",19.67
Prev Close,321.51
Shares Outstanding,1.0B
Short Interest,0.0097
Today's Open,322.89
Volume,3393533.0
Volume 10-day Avg,5330655.0
Volume Past Day,(Light)
