,LE
% Above Low,0.46840000000000004
% Held by Institutions,0.3812
52-Wk Range,['7.60 - 25.50']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,2.6
Bid,
Bid Size,
Closing Price,11.16
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.29
Ex-dividend Date,No dividend
Historical Volatility,0.705
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,369.6M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",37.91
Prev Close,11.16
Shares Outstanding,33.1M
Short Interest,0.0601
Today's Open,
Volume,32478.0
Volume 10-day Avg,143300.0
Volume Past Day,(Light)
