,LE
Price/Earnings (TTM),37.91276
Price/Sales (TTM),0.233
Price/Book (MRQ),0.93195
Price/Cash Flow (TTM),7.5579
5yr Low,4.05
5yr High,44.4
5yr Avg Return,0.036216666666666696
EPS Growth 5yr,
Revenue Growth 5yr,0.041463599999999996
Dividend Growth 5yr,
Short Int Current Month,792494.0
Short Int Prev Month,777830.0
Short Int Pct of Float,0.0601003
Days to Cover,5.05536
Float,13.20888
Shares Outstanding,33.11456
Institutions Holding Shares,157.0
% Held by Institutions,0.381197
FCF Growth 5yr,-2.2124126830668653
