,MBUU
% Above Low,0.23
% Held by Institutions,0.9959
52-Wk Range,['46.30 - 73.80']
Annual Dividend $,
Annual Dividend %,
Ask,69.76
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,1.6
Bid,46.86
Bid Size,400.0
Closing Price,56.95
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",7.94
Ex-dividend Date,No dividend
Historical Volatility,0.451
Last (size),49.0
Last (time),1:00p ET 11/25/22
Market Cap,1.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",7.17
Prev Close,56.95
Shares Outstanding,20.3M
Short Interest,0.0542
Today's Open,
Volume,31639.0
Volume 10-day Avg,119929.0
Volume Past Day,(Light)
