,MBUU
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,0.03896103896103886
Growth 1yr High Est,0.05964467005076135
Growth 1yr Consensus Est,0.04930285450590011
Growth 2yr Low Est,-0.030519480519480557
Growth 2yr High Est,0.06096005957627881
Growth 2yr Consensus Est,0.015220289528399128
Growth 5yr Low Est,0.0926971579145492
Growth 5yr High Est,0.1540187245247754
Growth 5yr Consensus Est,0.12335794121966231
Growth 5yr Actual/Est,0.28778573448123784
Growth 3yr Historic,0.28572187185491255
