,MAX
% Above Low,0.5863
% Held by Institutions,0.9537
52-Wk Range,['7.59 - 17.26']
Annual Dividend $,
Annual Dividend %,
Ask,14.97
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,
Bid,11.25
Bid Size,300.0
Closing Price,12.04
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.78
Ex-dividend Date,No dividend
Historical Volatility,0.687
Last (size),11.0
Last (time),5:00p ET 11/25/22
Market Cap,519.0M
"P/E Ratio (TTM, GAAP)",
Prev Close,12.04
Shares Outstanding,43.1M
Short Interest,0.038900000000000004
Today's Open,
Volume,239174.0
Volume 10-day Avg,304338.0
Volume Past Day,(Light)
