,MAX
Price/Earnings (TTM),
Price/Sales (TTM),1.50983
Price/Book (MRQ),623.6619
Price/Cash Flow (TTM),
5yr Low,7.59
5yr High,70.33
5yr Avg Return,-0.045233333333333306
Short Int Current Month,1579949.0
Short Int Prev Month,1589538.0
Short Int Pct of Float,0.0389003
Days to Cover,4.01892
Float,40.63684
Shares Outstanding,62.28043
Institutions Holding Shares,129.0
% Held by Institutions,0.953747
FCF Growth 5yr,0.49932724455334787
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
