,MKC
% Above Low,0.1927
% Held by Institutions,0.8626
52-Wk Range,['71.19 - 107.35']
Annual Dividend $,1.48
Annual Dividend %,0.0174
Ask,87.71
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,0.6
Bid,76.7
Bid Size,500.0
Closing Price,84.91
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-10-25 00:00:00
"EPS (TTM, GAAP)",2.57
Ex-dividend,2022-10-07 00:00:00
Ex-dividend Date,10/07/22
Historical Volatility,0.263
Last (size),5.0
Last (time),5:00p ET 11/25/22
Market Cap,22.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",33.07
Prev Close,84.91
Shares Outstanding,268.2M
Short Interest,0.0322
Today's Open,
Volume,1003054.0
Volume 10-day Avg,1202457.0
Volume Past Day,(Below Average)
