,MKC
Price/Earnings (TTM),33.06644
Price/Sales (TTM),3.56633
Price/Book (MRQ),4.96229
Price/Cash Flow (TTM),26.61759
5yr Low,49.17
5yr High,107.35
5yr Avg Return,0.10441666666666669
EPS Growth 5yr,0.0868953
Revenue Growth 5yr,0.0744774
Dividend Growth 5yr,0.0959938
Short Int Current Month,8036021.0
Short Int Prev Month,7248830.0
Short Int Pct of Float,0.032216999999999996
Days to Cover,6.7691
Float,263.3825
Shares Outstanding,268.207
Institutions Holding Shares,1247.0
% Held by Institutions,0.8626229999999999
FCF Growth 5yr,-1.1503729603729602
