,INBX
Price/Earnings (TTM),
Price/Sales (TTM),276.6893
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,7.67
5yr High,50.97
5yr Avg Return,0.17159999999999997
Short Int Current Month,4490687.0
Short Int Prev Month,4617828.0
Short Int Pct of Float,0.1583118
Days to Cover,9.11744
Float,31.25395
Shares Outstanding,43.55142
Institutions Holding Shares,151.0
% Held by Institutions,0.760235
FCF Growth 5yr,0.302561273982545
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
