,INBX
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.6205357142857142
Growth 1yr High Est,0.502487562189055
Growth 1yr Consensus Est,0.5615116382373846
Growth 2yr Low Est,0.30751303620621795
Growth 2yr High Est,0.29925702612764005
Growth 2yr Consensus Est,0.303385031166929
Growth 5yr Low Est,0.30751303620621795
Growth 5yr High Est,0.29925702612764005
Growth 5yr Consensus Est,0.303385031166929
Growth 5yr Actual/Est,0.0983111849390919
Growth 3yr Historic,-0.09523809523809523
