,INBX
% Below High,0.34049999999999997
% Held by Institutions,0.7602
52-Wk Range,['7.67 - 45.99']
Annual Dividend $,
Annual Dividend %,
Ask,32.9
Ask Size,100.0
B/A Ratio,20.0
B/A Size,2000x100
Beta,
Bid,24.0
Bid Size,2000.0
Closing Price,30.33
Day Change $,0.89
Day Change %,0.0302
Day High,30.48
Day Low,29.05
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.22
Ex-dividend Date,No dividend
Historical Volatility,1.001
Last (size),14.0
Last (time),1:00p ET 11/25/22
Market Cap,1.3B
"P/E Ratio (TTM, GAAP)",
Prev Close,29.44
Shares Outstanding,43.6M
Short Interest,0.1583
Today's Open,29.05
Volume,98258.0
Volume 10-day Avg,480960.0
Volume Past Day,(Light)
