,ACA
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.1439999999999999
Growth 1yr High Est,-0.12941176470588223
Growth 1yr Consensus Est,-0.13670588235294107
Growth 2yr Low Est,-0.21452336448598125
Growth 2yr High Est,-0.09623741388447266
Growth 2yr Consensus Est,-0.15538038918522695
Growth 5yr Low Est,-0.07445625237873724
Growth 5yr High Est,-0.03249370694223633
Growth 5yr Consensus Est,-0.05347497966048678
Growth 5yr Actual/Est,-0.05165742436106238
Growth 3yr Historic,-0.0424229266174555
