,ACA
Price/Earnings (TTM),28.86363
Price/Sales (TTM),1.26807
Price/Book (MRQ),1.42947
Price/Cash Flow (TTM),11.27765
5yr Low,21.0
5yr High,68.46
5yr Avg Return,0.17004000000000002
EPS Growth 5yr,-0.1080598
Revenue Growth 5yr,0.0362838
Dividend Growth 5yr,
Short Int Current Month,738949.0
Short Int Prev Month,774490.0
Short Int Pct of Float,0.0154169
Days to Cover,3.29156
Float,47.83731
Shares Outstanding,48.35448
Institutions Holding Shares,358.0
% Held by Institutions,0.905658
FCF Growth 5yr,-19.779927109615926
