,ACA
% Below High,0.09759999999999999
% Held by Institutions,0.9057
52-Wk Range,['43.42 - 65.80']
Annual Dividend $,0.2
Annual Dividend %,0.0034000000000000002
Ask,65.75
Ask Size,1400.0
B/A Ratio,0.14285714285714285
B/A Size,200x1400
Beta,0.5
Bid,56.01
Bid Size,200.0
Closing Price,59.38
Day Change $,0.51
Day Change %,0.0087
Day High,60.21
Day Low,58.96
Dividend Pay Date,2022-10-31 00:00:00
"EPS (TTM, GAAP)",2.06
Ex-dividend,2022-10-13 00:00:00
Ex-dividend Date,10/13/22
Historical Volatility,0.38200000000000006
Last (size),23.0
Last (time),5:00p ET 11/25/22
Market Cap,2.9B
"P/E Ratio (TTM, GAAP)",28.86
Prev Close,58.87
Shares Outstanding,48.4M
Short Interest,0.0154
Today's Open,59.06
Volume,66466.0
Volume 10-day Avg,181537.0
Volume Past Day,(Light)
