,PEP
% Below High,0.0108
% Held by Institutions,0.7070000000000001
52-Wk Range,['153.37 - 186.62']
Annual Dividend $,4.6
Annual Dividend %,0.025
Ask,184.65
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.6
Bid,184.59
Bid Size,100.0
Day Change $,0.5
Day Change %,0.0027
Day High,185.49
Day Low,184.33
Dividend Pay Date,2023-01-06 00:00:00
"EPS (TTM, GAAP)",7.05
Ex-dividend,2022-12-01 00:00:00
Ex-dividend Date,12/01/22
Historical Volatility,0.2
Last (size),400.0
Last (time),10:31a ET 11/28/22
Market Cap,254.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",26.11
Prev Close,184.11
Price,184.61
Shares Outstanding,1.4B
Short Interest,0.0073
Today's Open,184.4
Volume Past Day,(Average)
