,PEP
Price/Earnings (TTM),26.10801
Price/Sales (TTM),3.0325
Price/Book (MRQ),13.37871
Price/Cash Flow (TTM),20.1774
5yr Low,95.94
5yr High,186.62
5yr Avg Return,0.08961666666666668
EPS Growth 5yr,0.0521889
Revenue Growth 5yr,0.0482249
Dividend Growth 5yr,0.0749007
Short Int Current Month,10092831.0
Short Int Prev Month,9424716.0
Short Int Pct of Float,0.007337399999999999
Days to Cover,2.08941
Float,1375.65
Shares Outstanding,1377.709
Institutions Holding Shares,3684.0
% Held by Institutions,0.706993
FCF Growth 5yr,2.056115593084184
