,DAL
% Above Low,0.2904
% Held by Institutions,0.642
52-Wk Range,['27.20 - 46.27']
Annual Dividend $,
Annual Dividend %,
Ask,35.15
Ask Size,1500.0
B/A Ratio,0.4
B/A Size,600x1500
Beta,1.2
Bid,35.1
Bid Size,600.0
Closing Price,35.1
Day Change $,0.61
Day Change %,0.0177
Day High,35.39
Day Low,34.36
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.11
Ex-dividend Date,No dividend
Historical Volatility,0.483
Last (size),257.0
Last (time),5:00p ET 11/25/22
Market Cap,22.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",308.68
Prev Close,34.49
Shares Outstanding,641.2M
Short Interest,0.028399999999999998
Today's Open,34.5
Volume,4352610.0
Volume 10-day Avg,7029668.0
Volume Past Day,(Light)
