,DAL
Price/Earnings (TTM),308.68
Price/Sales (TTM),0.48278
Price/Book (MRQ),4.90321
Price/Cash Flow (TTM),10.51669
5yr Low,17.51
5yr High,63.44
5yr Avg Return,-0.04218333333333333
EPS Growth 5yr,-0.3986829
Revenue Growth 5yr,-0.053932900000000006
Dividend Growth 5yr,
Short Int Current Month,18145043.0
Short Int Prev Month,17472925.0
Short Int Pct of Float,0.0284024
Days to Cover,1.93705
Float,639.0908
Shares Outstanding,641.1884
Institutions Holding Shares,1169.0
% Held by Institutions,0.642026
FCF Growth 5yr,104.77730596663444
