,DAL
Next Earnings Announcement,2023-01-12 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,-1.5720081135902637
Growth 1yr High Est,-1.745
Growth 1yr Consensus Est,-1.658504056795132
Growth 2yr Low Est,-0.7718196596320113
Growth 2yr High Est,-0.19800335570469807
Growth 2yr Consensus Est,-0.48491150766835467
Growth 5yr Low Est,-1.2033721093552043
Growth 5yr High Est,-0.8263715731789008
Growth 5yr Consensus Est,-1.0148718412670525
Growth 5yr Actual/Est,-1.0295252164004993
Growth 3yr Historic,-0.7731935170540941
