,BNTX
% Above Low,0.3226
% Held by Institutions,0.1659
52-Wk Range,['117.08 - 374.58']
Annual Dividend $,
Annual Dividend %,
Ask,156.92
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,
Bid,154.0
Bid Size,100.0
Closing Price,154.85
Day Change $,-1.38
Day Change %,-0.0088
Day High,157.12
Day Low,154.11
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",42.42
Ex-dividend Date,No dividend
Historical Volatility,0.7140000000000001
Last (size),8.0
Last (time),12:59p ET 11/25/22
Market Cap,37.6B
"P/E Ratio (TTM, GAAP)",3.65
Prev Close,156.23
Shares Outstanding,242.7M
Short Interest,0.0209
Today's Open,155.21
Volume,348316.0
Volume 10-day Avg,941206.0
Volume Past Day,(Light)
