,ULTA
Price/Earnings (TTM),21.00544
Price/Sales (TTM),2.4514
Price/Book (MRQ),13.00951
Price/Cash Flow (TTM),16.58936
5yr Low,124.05
5yr High,451.48
5yr Avg Return,0.13956666666666664
EPS Growth 5yr,0.2248882
Revenue Growth 5yr,0.1219615
Dividend Growth 5yr,
Short Int Current Month,1610619.0
Short Int Prev Month,1546584.0
Short Int Pct of Float,0.0318892
Days to Cover,2.43729
Float,50.50798
Shares Outstanding,51.2215
Institutions Holding Shares,1273.0
% Held by Institutions,0.932791
FCF Growth 5yr,0.4908582950082408
