,ULTA
Next Earnings Announcement,2022-12-01 00:00:00
Growth Analysts,29.0
Growth 1yr Low Est,0.23026706231453997
Growth 1yr High Est,0.2926553672316383
Growth 1yr Consensus Est,0.26146121477308915
Growth 2yr Low Est,0.13081129285529214
Growth 2yr High Est,0.19506020109833666
Growth 2yr Consensus Est,0.1629357469768144
Growth 5yr Low Est,0.1688032974343575
Growth 5yr High Est,0.21536052448931797
Growth 5yr Consensus Est,0.19208191096183774
Growth 5yr Actual/Est,0.6272664748495017
Growth 3yr Historic,0.560477048340663
