,ULTA
% Below High,0.009399999999999999
% Held by Institutions,0.9328
52-Wk Range,['330.80 - 461.57']
Annual Dividend $,
Annual Dividend %,
Ask,459.9
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,1.3
Bid,457.5
Bid Size,200.0
Closing Price,457.24
Day Change $,8.89
Day Change %,0.019799999999999998
Day High,461.57
Day Low,447.87
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",21.34
Ex-dividend Date,No dividend
Historical Volatility,0.38
Last (size),100.0
Last (time),3:59p ET 11/28/22
Market Cap,23.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",21.01
Prev Close,448.35
Shares Outstanding,51.2M
Short Interest,0.0319
Today's Open,448.47
Volume,899525.0
Volume 10-day Avg,557023.0
Volume Past Day,(Heavy Day)
