,CYRX
Price/Earnings (TTM),
Price/Sales (TTM),3.95805
Price/Book (MRQ),1.69679
Price/Cash Flow (TTM),
5yr Low,6.66
5yr High,86.3
5yr Avg Return,0.3710666666666666
Short Int Current Month,3104388.0
Short Int Prev Month,3872722.0
Short Int Pct of Float,0.0645612
Days to Cover,3.05217
Float,48.07974
Shares Outstanding,48.99984
Institutions Holding Shares,266.0
% Held by Institutions,0.9405880000000001
FCF Growth 5yr,0.8700980392156863
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
