,GS
Price/Earnings (TTM),10.35739
Price/Sales (TTM),2.13647
Price/Book (MRQ),1.21436
Price/Cash Flow (TTM),8.43895
5yr Low,130.85
5yr High,426.16
5yr Avg Return,0.11288333333333334
EPS Growth 5yr,0.2955385
Revenue Growth 5yr,0.11311009999999999
Dividend Growth 5yr,0.20112439999999998
Short Int Current Month,7100483.0
Short Int Prev Month,5711910.0
Short Int Pct of Float,0.02109
Days to Cover,2.34507
Float,336.7499
Shares Outstanding,338.6346
Institutions Holding Shares,2226.0
% Held by Institutions,0.678578
FCF Growth 5yr,1.4493635070956081
