,GS
Next Earnings Announcement,2023-01-17 00:00:00
Growth Analysts,25.0
Growth 1yr Low Est,-0.4078393881453155
Growth 1yr High Est,-0.43492876580758766
Growth 1yr Consensus Est,-0.4213840769764516
Growth 2yr Low Est,-0.22474630046594157
Growth 2yr High Est,-0.11406494947603169
Growth 2yr Consensus Est,-0.16940562497098663
Growth 5yr Low Est,0.27202762608920295
Growth 5yr High Est,0.3502697138141726
Growth 5yr Consensus Est,0.3111486699516878
Growth 5yr Actual/Est,0.31250018240738775
Growth 3yr Historic,0.3948514383155911
