,GS
% Below High,0.057699999999999994
% Held by Institutions,0.6786
52-Wk Range,['277.84 - 412.66']
Annual Dividend $,10.0
Annual Dividend %,0.025699999999999997
Ask,389.49
Ask Size,500.0
B/A Ratio,0.8
B/A Size,400x500
Beta,1.4
Bid,388.62
Bid Size,400.0
Closing Price,388.86
Day Change $,2.61
Day Change %,0.0068000000000000005
Day High,389.44
Day Low,385.18
Dividend Pay Date,2022-12-29 00:00:00
"EPS (TTM, GAAP)",37.54
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.299
Last (size),10.0
Last (time),5:00p ET 11/25/22
Market Cap,131.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",10.36
Prev Close,386.25
Shares Outstanding,338.6M
Short Interest,0.021099999999999997
Today's Open,385.76
Volume,1129250.0
Volume 10-day Avg,2443759.0
Volume Past Day,(Light)
