,STRL
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,0.4626168224299063
Growth 1yr High Est,0.45833333333333326
Growth 1yr Consensus Est,0.4604750778816198
Growth 2yr Low Est,0.2552700725568062
Growth 2yr High Est,0.2878968253968254
Growth 2yr Consensus Est,0.2715834489768158
Growth 5yr Low Est,0.2970617688013117
Growth 5yr High Est,0.31719660971253333
Growth 5yr Consensus Est,0.3071291892569225
Growth 5yr Actual/Est,0.40948900249562337
Growth 3yr Historic,0.2922880116959064
