,STRL
% Below High,0.047599999999999996
% Held by Institutions,
52-Wk Range,['20.46 - 33.62']
Annual Dividend $,
Annual Dividend %,
Ask,32.04
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,
Bid,32.0
Bid Size,200.0
Day Change $,-0.23
Day Change %,-0.0070999999999999995
Day High,32.6
Day Low,32.01
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",
Ex-dividend Date,No dividend
Historical Volatility,0.41100000000000003
Last (size),100.0
Last (time),3:31p ET 11/28/22
Market Cap,971.2M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",--x
Prev Close,32.25
Price,32.02
Shares Outstanding,30.3M
Short Interest,
Today's Open,32.22
Volume Past Day,(Light)
