,STRL
5yr Low,6.72
5yr High,33.62
5yr Avg Return,0.13976666666666668
FCF Growth 5yr,-0.06273144728286709
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
