,CRNX
% Above Low,0.13699999999999998
% Held by Institutions,0.983
52-Wk Range,['15.91 - 28.95']
Annual Dividend $,
Annual Dividend %,
Ask,29.16
Ask Size,200.0
B/A Ratio,3.5
B/A Size,700x200
Beta,1.0
Bid,16.9
Bid Size,700.0
Closing Price,18.09
Day Change $,-0.41
Day Change %,-0.0222
Day High,18.68
Day Low,18.08
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.99
Ex-dividend Date,No dividend
Historical Volatility,0.6950000000000001
Last (size),25.0
Last (time),1:00p ET 11/25/22
Market Cap,973.4M
"P/E Ratio (TTM, GAAP)",
Prev Close,18.5
Shares Outstanding,53.8M
Short Interest,0.0821
Today's Open,18.47
Volume,101792.0
Volume 10-day Avg,291085.0
Volume Past Day,(Light)
