,CRNX
Price/Earnings (TTM),
Price/Sales (TTM),190.6446
Price/Book (MRQ),2.76963
Price/Cash Flow (TTM),
5yr Low,10.63
5yr High,42.0
5yr Avg Return,0.12093999999999999
EPS Growth 5yr,
Revenue Growth 5yr,0.1284977
Dividend Growth 5yr,
Short Int Current Month,3860385.0
Short Int Prev Month,4013761.0
Short Int Pct of Float,0.0820877
Days to Cover,11.98539
Float,47.01509
Shares Outstanding,53.81048
Institutions Holding Shares,184.0
% Held by Institutions,0.982997
FCF Growth 5yr,0.7260594799394529
