,CACI
Price/Earnings (TTM),19.98911
Price/Sales (TTM),1.15696
Price/Book (MRQ),2.3142
Price/Cash Flow (TTM),14.47406
5yr Low,127.7
5yr High,313.52
5yr Avg Return,0.18264999999999998
EPS Growth 5yr,0.1886449
Revenue Growth 5yr,0.07331990000000001
Dividend Growth 5yr,
Short Int Current Month,320603.0
Short Int Prev Month,378562.0
Short Int Pct of Float,0.0138676
Days to Cover,2.46771
Float,23.12379
Shares Outstanding,23.49694
Institutions Holding Shares,521.0
% Held by Institutions,0.882846
FCF Growth 5yr,0.11274207868855202
