,CACI
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,0.0028248587570622874
Growth 1yr High Est,0.04131769960915688
Growth 1yr Consensus Est,0.022071279183109582
Growth 2yr Low Est,0.023102570223601515
Growth 2yr High Est,0.08768297849090556
Growth 2yr Consensus Est,0.05539277435725354
Growth 5yr Low Est,0.1212722893432206
Growth 5yr High Est,0.15478985969024384
Growth 5yr Consensus Est,0.13803107451673222
Growth 5yr Actual/Est,0.13434430259590643
Growth 3yr Historic,0.10611330672594829
