,OCGN
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),3.43329
Price/Cash Flow (TTM),
5yr Low,0.17
5yr High,201.0
5yr Avg Return,0.11303333333333329
Short Int Current Month,41525252.0
Short Int Prev Month,43266761.0
Short Int Pct of Float,0.1927231
Days to Cover,7.50814
Float,215.4659
Shares Outstanding,218.8869
Institutions Holding Shares,166.0
% Held by Institutions,0.349043
FCF Growth 5yr,0.2670358452533312
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
