,OCGN
% Above Low,0.0203
% Held by Institutions,0.349
52-Wk Range,['1.48 - 7.17']
Annual Dividend $,
Annual Dividend %,
Ask,1.5
Ask Size,1100.0
Ask close,1.52
B/A Ratio,11.363636363636363
B/A Size,12500x1100
Beta,4.0
Bid,1.49
Bid Size,12500.0
Bid close,1.51
Change Since Close,-0.01| |(-0.66%)
Closing Price,1.51
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.35
Ex-dividend Date,No dividend
Historical Volatility,1.031
Last (size),130.0
Last (time),1:00p ET 11/25/22
Last Trade,1.5
Market Cap,330.5M
"P/E Ratio (TTM, GAAP)",
Prev Close,1.51
Shares Outstanding,218.9M
Short Interest,0.19269999999999998
Today's Open,
Volume,60101.0
Volume 10-day Avg,4252454.0
Volume Past Day,(Light)
