,OCGN
Next Earnings Announcement,2023-02-24 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.11428571428571432
Growth 1yr High Est,0.3076923076923077
Growth 1yr Consensus Est,0.21098901098901102
Growth 2yr Low Est,0.19816849816849813
Growth 2yr High Est,0.03619909502262442
Growth 2yr Consensus Est,0.11718379659556127
Growth 5yr Low Est,0.12285307285307283
Growth 5yr High Est,-0.029630710845132097
Growth 5yr Consensus Est,0.04661118100397036
Growth 5yr Actual/Est,-0.12331096558600799
Growth 3yr Historic,-0.19655657962109577
