,THRY
% Above Low,0.09519999999999999
% Held by Institutions,0.9976
52-Wk Range,['17.33 - 42.99']
Annual Dividend $,
Annual Dividend %,
Ask,18.99
Ask Size,200.0
Ask close,23.52
B/A Ratio,6.5
B/A Size,1300x200
Beta,
Bid,18.98
Bid Size,1300.0
Bid close,14.84
Change Since Close,0.00| |(0.00%)
Closing Price,18.98
Day Change $,-0.59
Day Change %,-0.0301
Day High,19.54
Day Low,18.96
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.99
Ex-dividend Date,No dividend
Historical Volatility,0.43
Last (size),8900.0
Last (time),4:00p ET 11/28/22
Last Trade,18.98
Market Cap,654.3M
"P/E Ratio (TTM, GAAP)",6.54
Prev Close,19.57
Shares Outstanding,34.5M
Short Interest,0.0904
Today's Open,19.4
Volume,170532.0
Volume 10-day Avg,256627.0
Volume Past Day,(Light)
