,THRY
Price/Earnings (TTM),6.53678
Price/Sales (TTM),0.5779
Price/Book (MRQ),1.59905
Price/Cash Flow (TTM),3.36275
5yr Low,8.1
5yr High,42.99
5yr Avg Return,0.36261666666666664
Short Int Current Month,2913438.0
Short Int Prev Month,3142547.0
Short Int Pct of Float,0.09044930000000001
Days to Cover,7.1338
Float,32.21074
Shares Outstanding,34.47519
Institutions Holding Shares,218.0
% Held by Institutions,0.997591
FCF Growth 5yr,0.27935941126385083
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
