,ATO
Price/Earnings (TTM),21.42372
Price/Sales (TTM),3.99597
Price/Book (MRQ),1.78247
Price/Cash Flow (TTM),12.81606
5yr Low,76.46
5yr High,122.96
5yr Avg Return,0.05555000000000001
EPS Growth 5yr,0.0923934
Revenue Growth 5yr,0.08770410000000001
Dividend Growth 5yr,0.08607369999999999
Short Int Current Month,6648606.0
Short Int Prev Month,6501943.0
Short Int Pct of Float,0.047754000000000005
Days to Cover,7.71671
Float,139.2445
Shares Outstanding,140.9006
Institutions Holding Shares,878.0
% Held by Institutions,0.9089830000000001
FCF Growth 5yr,0.3909110078706677
