,ATO
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,0.07608695652173925
Growth 1yr High Est,0.07692307692307687
Growth 1yr Consensus Est,0.07650501672240806
Growth 2yr Low Est,0.07255526277265412
Growth 2yr High Est,0.08663429593662153
Growth 2yr Consensus Est,0.07959477935463782
Growth 5yr Low Est,0.08400147985813072
Growth 5yr High Est,0.08687449777622613
Growth 5yr Consensus Est,0.08543798881717843
Growth 5yr Actual/Est,0.08040093542235216
Growth 3yr Historic,0.0446239406779661
