,ATO
% Below High,0.030899999999999997
% Held by Institutions,0.909
52-Wk Range,['88.96 - 122.96']
Annual Dividend $,2.96
Annual Dividend %,0.0248
Ask,124.0
Ask Size,1600.0
B/A Ratio,0.0625
B/A Size,100x1600
Beta,0.6
Bid,118.0
Bid Size,100.0
Closing Price,119.16
Day Change $,1.32
Day Change %,0.011200000000000002
Day High,119.24
Day Low,118.27
Dividend Pay Date,2022-12-12 00:00:00
"EPS (TTM, GAAP)",5.56
Ex-dividend,2022-11-25 00:00:00
Ex-dividend Date,11/25/22
Historical Volatility,0.237
Last (size),50.0
Last (time),5:00p ET 11/25/22
Market Cap,16.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",21.42
Prev Close,117.84
Shares Outstanding,140.9M
Short Interest,0.0478
Today's Open,118.33
Volume,365895.0
Volume 10-day Avg,917285.0
Volume Past Day,(Light)
