,WEC
% Below High,0.1001
% Held by Institutions,0.7283
52-Wk Range,['80.82 - 108.39']
Annual Dividend $,2.91
Annual Dividend %,0.029500000000000002
Ask,109.95
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,0.4
Bid,94.0
Bid Size,400.0
Closing Price,97.54
Day Change $,-1.12
Day Change %,-0.011399999999999999
Day High,98.7
Day Low,97.14
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",4.36
Ex-dividend,2022-11-10 00:00:00
Ex-dividend Date,11/10/22
Historical Volatility,0.23399999999999999
Last (size),470.0
Last (time),7:00p ET 11/28/22
Market Cap,30.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",22.61
Prev Close,98.66
Shares Outstanding,315.4M
Short Interest,0.0146
Today's Open,98.19
Volume,979077.0
Volume 10-day Avg,1313129.0
Volume Past Day,(Light)
