,FTCI
% Above Low,0.22469999999999998
% Held by Institutions,0.2842
52-Wk Range,['1.78 - 8.96']
Annual Dividend $,
Annual Dividend %,
Ask,2.19
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,2.18
Bid Size,100.0
Closing Price,2.18
Day Change $,-0.1
Day Change %,-0.043899999999999995
Day High,2.25
Day Low,2.13
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.04
Ex-dividend Date,No dividend
Historical Volatility,1.095
Last (size),3.0
Last (time),1:00p ET 11/25/22
Market Cap,225.2M
"P/E Ratio (TTM, GAAP)",
Prev Close,2.28
Shares Outstanding,103.3M
Short Interest,0.1436
Today's Open,2.25
Volume,504154.0
Volume 10-day Avg,1260520.0
Volume Past Day,(Light)
