,DOV
% Above Low,0.2489
% Held by Institutions,0.8992
52-Wk Range,['114.49 - 184.05']
Annual Dividend $,2.02
Annual Dividend %,0.0141
Ask,225.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.4
Bid,92.0
Bid Size,100.0
Closing Price,142.99
Day Change $,0.23
Day Change %,0.0016
Day High,143.65
Day Low,142.56
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",8.05
Ex-dividend,2022-11-29 00:00:00
Ex-dividend Date,11/29/22
Historical Volatility,0.28800000000000003
Last (size),19.0
Last (time),5:00p ET 11/25/22
Market Cap,20.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",17.76
Prev Close,142.76
Shares Outstanding,140.4M
Short Interest,0.013000000000000001
Today's Open,143.16
Volume,237894.0
Volume 10-day Avg,800501.0
Volume Past Day,(Light)
