,DOV
Price/Earnings (TTM),17.76448
Price/Sales (TTM),2.45582
Price/Book (MRQ),5.02808
Price/Cash Flow (TTM),13.98926
5yr Low,62.95
5yr High,184.05
5yr Avg Return,0.12168333333333337
EPS Growth 5yr,0.1926626
Revenue Growth 5yr,0.0552358
Dividend Growth 5yr,0.0295914
Short Int Current Month,1842859.0
Short Int Prev Month,1461295.0
Short Int Pct of Float,0.0129857
Days to Cover,1.78066
Float,141.9313
Shares Outstanding,143.5493
Institutions Holding Shares,1104.0
% Held by Institutions,0.89922
FCF Growth 5yr,-1.3106435307755442
