,CCRN
Price/Earnings (TTM),5.87036
Price/Sales (TTM),0.46727
Price/Book (MRQ),3.05047
Price/Cash Flow (TTM),5.50293
5yr Low,4.5
5yr High,40.12
5yr Avg Return,0.3819666666666667
EPS Growth 5yr,0.7424279
Revenue Growth 5yr,0.15001530000000002
Dividend Growth 5yr,
Short Int Current Month,3251807.0
Short Int Prev Month,2927756.0
Short Int Pct of Float,0.0923149
Days to Cover,3.2464
Float,35.26159
Shares Outstanding,37.29547
Institutions Holding Shares,270.0
% Held by Institutions,0.976145
FCF Growth 5yr,-3.5101452208104997
