,CCRN
% Below High,0.11960000000000001
% Held by Institutions,0.9761
52-Wk Range,['15.26 - 40.12']
Annual Dividend $,
Annual Dividend %,
Ask,36.29
Ask Size,200.0
B/A Ratio,8.5
B/A Size,1700x200
Beta,1.0
Bid,35.32
Bid Size,1700.0
Closing Price,35.32
Day Change $,0.11
Day Change %,0.0031
Day High,36.17
Day Low,35.28
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",6.02
Ex-dividend Date,No dividend
Historical Volatility,0.657
Last (size),1.0
Last (time),12:59p ET 11/25/22
Market Cap,1.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",5.87
Prev Close,35.21
Shares Outstanding,37.3M
Short Interest,0.09230000000000001
Today's Open,35.43
Volume,214479.0
Volume 10-day Avg,652801.0
Volume Past Day,(Light)
