,CCRN
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.386904761904762
Growth 2yr High Est,-0.34774066797642433
Growth 2yr Consensus Est,-0.36732271494059315
Growth 5yr Low Est,-0.386904761904762
Growth 5yr High Est,-0.34774066797642433
Growth 5yr Consensus Est,-0.36732271494059315
Growth 5yr Actual/Est,2.0012236615767995
Growth 3yr Historic,1.9297101449275362
