,EXPI
Price/Earnings (TTM),49.09412
Price/Sales (TTM),0.38484
Price/Book (MRQ),7.13104
Price/Cash Flow (TTM),38.84846
5yr Low,3.25
5yr High,90.0
5yr Avg Return,0.7757833333333332
EPS Growth 5yr,
Revenue Growth 5yr,1.341715
Dividend Growth 5yr,
Short Int Current Month,14378211.0
Short Int Prev Month,15969371.0
Short Int Pct of Float,0.1932528
Days to Cover,9.44005
Float,74.45667
Shares Outstanding,152.7021
Institutions Holding Shares,269.0
% Held by Institutions,0.28200800000000004
FCF Growth 5yr,0.020716552015862682
