,EXPI
% Above Low,0.1424
% Held by Institutions,0.282
52-Wk Range,['10.46 - 38.70']
Annual Dividend $,0.18
Annual Dividend %,0.0151
Ask,12.48
Ask Size,200.0
B/A Ratio,6.0
B/A Size,1200x200
Beta,2.8
Bid,11.8
Bid Size,1200.0
Closing Price,11.95
Day Change $,0.08
Day Change %,0.0067
Day High,11.98
Day Low,11.56
Dividend Pay Date,2022-11-28 00:00:00
"EPS (TTM, GAAP)",0.24
Ex-dividend,2022-11-10 00:00:00
Ex-dividend Date,11/10/22
Historical Volatility,0.767
Last (size),2.0
Last (time),1:00p ET 11/25/22
Market Cap,1.8B
"P/E Ratio (TTM, GAAP)",49.09
Prev Close,11.87
Shares Outstanding,152.7M
Short Interest,0.19329999999999997
Today's Open,11.56
Volume,258371.0
Volume 10-day Avg,1143626.0
Volume Past Day,(Light)
