,TRGP
% Below High,0.113
% Held by Institutions,0.8951
52-Wk Range,['47.57 - 81.50']
Annual Dividend $,1.4
Annual Dividend %,0.0191
Ask,75.26
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,2.3
Bid,70.85
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,72.29
Day Change $,-1.02
Day Change %,-0.0139
Day High,73.15
Day Low,70.89
Dividend Pay Date,2022-11-15 00:00:00
"EPS (TTM, GAAP)",1.04
Ex-dividend,2022-10-28 00:00:00
Ex-dividend Date,10/28/22
Historical Volatility,0.41200000000000003
Last (size),5.0
Last (time),7:00p ET 11/28/22
Last Trade,0.0
Market Cap,16.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",70.75
Prev Close,73.31
Shares Outstanding,226.4M
Short Interest,0.0262
Today's Open,71.37
Volume,1063982.0
Volume 10-day Avg,1313035.0
Volume Past Day,(Below Average)
