,TRGP
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,0.5103448275862068
Growth 1yr High Est,1.7292576419213974
Growth 1yr Consensus Est,1.119801234753802
Growth 2yr Low Est,0.5748071169894504
Growth 2yr High Est,0.9382288209606987
Growth 2yr Consensus Est,0.7565179689750745
Growth 5yr Low Est,-0.010244674909188975
Growth 5yr High Est,0.17614444193732495
Growth 5yr Consensus Est,0.082949883514068
Growth 5yr Actual/Est,1.0635900830178353
Growth 3yr Historic,0.6873364881502002
