,TRGP
Price/Earnings (TTM),70.74889
Price/Sales (TTM),0.76069
Price/Book (MRQ),6.95616
Price/Cash Flow (TTM),10.34057
5yr Low,3.66
5yr High,81.5
5yr Avg Return,0.17325
EPS Growth 5yr,
Revenue Growth 5yr,0.2043037
Dividend Growth 5yr,-0.35702849999999997
Short Int Current Month,5833114.0
Short Int Prev Month,5660799.0
Short Int Pct of Float,0.026193
Days to Cover,3.39351
Float,222.9323
Shares Outstanding,226.3754
Institutions Holding Shares,684.0
% Held by Institutions,0.895056
FCF Growth 5yr,0.04700242108114409
