,ZWS
Price/Earnings (TTM),58.17544
Price/Sales (TTM),3.76704
Price/Book (MRQ),2.7313
Price/Cash Flow (TTM),49.85064
5yr Low,18.87
5yr High,65.68
5yr Avg Return,0.023633333333333312
Short Int Current Month,4104349.0
Short Int Prev Month,5191703.0
Short Int Pct of Float,0.0237854
Days to Cover,2.60056
Float,173.4612
Shares Outstanding,177.7946
Institutions Holding Shares,311.0
% Held by Institutions,0.76044
FCF Growth 5yr,-1.2033353360748467
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
