,ZWS
Next Earnings Announcement,2023-01-24 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,-0.5208333333333333
Growth 1yr High Est,-0.5024630541871921
Growth 1yr Consensus Est,-0.5116481937602626
Growth 2yr Low Est,-0.33650362318840576
Growth 2yr High Est,-0.2314295468955762
Growth 2yr Consensus Est,-0.283966585041991
Growth 5yr Low Est,-0.14079516419535898
Growth 5yr High Est,-0.09432439911623733
Growth 5yr Consensus Est,-0.11755978165579814
Growth 5yr Actual/Est,-0.06187439550979004
Growth 3yr Historic,-0.13260723409977146
