,PWSC
% Below High,0.0987
% Held by Institutions,0.7898000000000001
52-Wk Range,['10.60 - 21.99']
Annual Dividend $,
Annual Dividend %,
Ask,19.87
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,
Bid,19.82
Bid Size,200.0
Day Change $,-0.59
Day Change %,-0.028900000000000002
Day High,20.49
Day Low,19.73
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.46
Ex-dividend Date,No dividend
Historical Volatility,0.598
Last (size),100.0
Last (time),11:56a ET 11/28/22
Market Cap,4.0B
"P/E Ratio (TTM, GAAP)",
Prev Close,20.41
Price,19.82
Shares Outstanding,199.4M
Short Interest,0.0253
Today's Open,20.19
Volume Past Day,(Average)
