,CTSH
% Above Low,0.1868
% Held by Institutions,0.9145
52-Wk Range,['51.33 - 93.47']
Annual Dividend $,1.08
Annual Dividend %,0.0177
Ask,61.25
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,1.1
Bid,60.95
Bid Size,300.0
Closing Price,60.92
Day Change $,0.89
Day Change %,0.0148
Day High,61.28
Day Low,60.13
Dividend Pay Date,2022-11-29 00:00:00
"EPS (TTM, GAAP)",4.49
Ex-dividend,2022-11-17 00:00:00
Ex-dividend Date,11/17/22
Historical Volatility,0.349
Last (size),1.0
Last (time),12:59p ET 11/25/22
Market Cap,31.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",13.56
Prev Close,60.03
Shares Outstanding,513.9M
Short Interest,0.0126
Today's Open,60.18
Volume,1607368.0
Volume 10-day Avg,4207253.0
Volume Past Day,(Light)
