,CTSH
Price/Earnings (TTM),13.56412
Price/Sales (TTM),1.61665
Price/Book (MRQ),2.61857
Price/Cash Flow (TTM),10.75141
5yr Low,40.01
5yr High,93.47
5yr Avg Return,-0.008633333333333333
EPS Growth 5yr,0.09714969999999999
Revenue Growth 5yr,0.0653299
Dividend Growth 5yr,
Short Int Current Month,6472602.0
Short Int Prev Month,7803407.0
Short Int Pct of Float,0.012621
Days to Cover,1.32065
Float,512.9281
Shares Outstanding,513.9214
Institutions Holding Shares,1294.0
% Held by Institutions,0.914485
FCF Growth 5yr,1.0372433853682672
