,VSTO
% Above Low,0.16390000000000002
% Held by Institutions,0.8402
52-Wk Range,['23.55 - 52.69']
Annual Dividend $,
Annual Dividend %,
Ask,29.5
Ask Size,300.0
B/A Ratio,2.6666666666666665
B/A Size,800x300
Beta,0.8
Bid,25.32
Bid Size,800.0
Closing Price,27.41
Day Change $,0.08
Day Change %,0.0029
Day High,27.54
Day Low,27.12
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",7.71
Ex-dividend Date,No dividend
Historical Volatility,0.446
Last (size),917.0
Last (time),7:00p ET 11/28/22
Market Cap,1.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",3.55
Prev Close,27.33
Shares Outstanding,56.6M
Short Interest,0.0872
Today's Open,27.12
Volume,432363.0
Volume 10-day Avg,561943.0
Volume Past Day,(Light)
