,VSTO
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.25810473815461343
Growth 1yr High Est,-0.20736196319018407
Growth 1yr Consensus Est,-0.23273335067239875
Growth 2yr Low Est,-0.28031287327898735
Growth 2yr High Est,-0.05878934072821901
Growth 2yr Consensus Est,-0.16955110700360318
Growth 5yr Low Est,-0.28031287327898735
Growth 5yr High Est,-0.05878934072821901
Growth 5yr Consensus Est,-0.16955110700360318
Growth 5yr Actual/Est,3.789929377606286
Growth 3yr Historic,3.8787568306010933
